Country Name,Country Code,Indicator Name,Indicator Code,2011
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2584463687.15
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,17930239399.81
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,104115923082.74
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,12890867538.53
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3442062830.14
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2501553648412.73
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,350908390034.04
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,530163281574.66
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10142111334.50
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,574000000.00
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1142042925.93
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1390557034407.97
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,431120310088.82
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,65951627200.20
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2355652125.85
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,527008453886.93
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,7814081155.65
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,10724063457.83
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,128637938711.39
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,57418391041.59
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,28776595744.68
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,7890000000.00
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,18644723860.97
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,61757788944.72
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1486712300.00
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,5550771000.00
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,23963033443.85
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2616201578192.25
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4660900000.00
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,18525319977.74
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1820207625.80
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15682926895.97
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2212699746.81
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1788647906047.76
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1446816243113.55
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,699579638638.23
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,252251992029.44
