Country or area,ISO code,YearStart,YearEnd,Sex,DataValue,DataProcess,DataCatalog ShortName,DataCatalog ID,DataCatalog LongName,Data Source,Note on Data,Note on Country and Population
Albania,8,2011,2011,Women,25.1,Census,2011 Census,4808,Albania 2011 Census,UNSD,,
Armenia,51,2011,2011,Women,24.6,Census,2011 Census,4774,Armenia 2011 Census,UNSD,,
Australia,36,2011,2011,Women,29.9,Census,2011 Census,4857,Australia 2011 Census,UNSD,Data randomly rounded to protect confidentiality. Totals may not add up to the sum of the respective components.,"Including population in off-shore, migratory and shipping."
Austria,40,2011,2011,Women,27.1,Census,2011 Census,5302,Austria 2011 Census,Eurostat,Estimates computed based on data on marital status and living arrangements.,
Bangladesh,50,2011,2011,Women,18.6,Survey,2011 DHS,5048,Bangladesh 2011 Demographic and Health Survey,DHS_STATcompiler,,
Belgium,56,2011,2011,Women,26.3,Census,2011 Census,4810,Belgium 2011 Census,Eurostat,Estimates computed based on data on marital status and living arrangements.,
Belize,84,2011,2011,Women,21.4,Survey,2011 MICS,4988,Belize 2011 Multiple Indicator Cluster Survey,MICS,,
Botswana,72,2011,2011,Women,24.8,Census,2011 Census,4706,Botswana 2011 Census,UNSD,,
Brunei Darussalam,96,2011,2011,Women,26.1,Census,2011 Census,4777,Brunei Darussalam 2011 Census,UNSD,,
Bulgaria,100,2011,2011,Women,26.2,Census,2011 Census,4812,Bulgaria 2011 Census,UNSD,,
Cameroon,120,2011,2011,Women,22.7,Survey,2011 DHS-MICS,4686,Cameroon 2011 Demographic and Health Survey,DHS_HH,,
Canada,124,2011,2011,Women,26.9,Census,2011 Census,4739,Canada 2011 Census,UNSD,,
Chile,152,2011,2011,Women,27.4,Survey,2011 Annual CASEN,5714,Chile 2011 Encuesta de Caracterizacion Socioeconomica Nacional,National statistics,,
"China, Hong Kong SAR",344,2011,2011,Women,30.3,Census,2011 Census,4780,"China, Hong Kong (SAR) 2011 Census",UNSD,Based on the results of a sample survey.,Data pertain to resident population only.
"China, Macao SAR",446,2011,2011,Women,30.3,Census,2011 Census,4781,"China, Macao (SAR) 2011 Census",US Census Bureau,,
Costa Rica,188,2011,2011,Women,23.9,Census,2011 Census,4741,Costa Rica 2011 Census,UNSD,,
Croatia,191,2011,2011,Women,27.4,Census,2011 Census,4816,Croatia 2011 Census,Eurostat,Estimates computed based on data on marital status and living arrangements.,
Cyprus,196,2011,2011,Women,26.4,Census,2011 Census,4782,Cyprus 2011 Census,Eurostat,Estimates computed based on data on marital status and living arrangements.,
Czechia,203,2011,2011,Women,28.5,Census,2011 Census,4817,Czech Republic 2011 Census,Eurostat,Estimates computed based on data on marital status and living arrangements.,
Denmark,208,2011,2011,Women,31.0,Estimate,2011 Estimate,2081,Denmark 2011 Estimate,UNSD,Based on data compiled from registers.,"Excluding Faeroe Islands and Greenland shown separately, if available."
Equatorial Guinea,226,2011,2011,Women,20.5,Survey,2011 DHS,5052,Equatorial Guinea 2011 Demographic and Health Survey,National statistics,,
Faeroe Islands,234,2011,2011,Women,30.7,Census,2011 Census,4820,Faroe Islands 2011 Census,National statistics,,
Finland,246,2011,2011,Women,30.1,Estimate,2011 Estimate,2093,Finland 2011 Estimate,UNSD,,Excluding Åland Islands.
Germany,276,2011,2011,Women,27.3,Census,2011 Census,4822,Germany 2011 Census,Eurostat,Estimates computed based on data on marital status and living arrangements.,
Ghana,288,2011,2011,Women,23.8,Survey,2011 MICS,5000,Ghana 2011 Multiple Indicator Cluster Survey,MICS,,
Greece,300,2011,2011,Women,29.2,Census,2011 Census,4824,Greece 2011 Census,UNSD,,
Greenland,304,2011,2011,Women,31.5,Estimate,2011 Estimate,2109,Greenland 2011 Estimate,UNSD,Based on data compiled from registers.,
Hungary,348,2011,2011,Women,31.6,Estimate,2011 Estimate,2120,Hungary 2011 Estimate,UNSD,,
Iceland,352,2011,2011,Women,27.5,Census,2011 Census,4826,Iceland 2011 Census,Eurostat,Estimates computed based on data on marital status and living arrangements.,
India,356,2011,2011,Women,20.7,Census,2011 Census,4784,India 2011 Census,National statistics,,
