Country Name,2011
Aruba,102053
Afghanistan,29708599
Angola,24218565
Albania,2905195
Andorra,83751
Arab World,364895878
United Arab Emirates,8672475
Argentina,41656879
Armenia,2875581
American Samoa,55320
Antigua and Barbuda,95719
Australia,22340024
Austria,8391643
Azerbaijan,9173082
Burundi,9043508
Belgium,11047744
Benin,9460802
Burkina Faso,16081904
Bangladesh,153911916
Bulgaria,7348328
Bahrain,1278269
"Bahamas, The",366568
Bosnia and Herzegovina,3688865
Belarus,9473172
Belize,329192
Bermuda,64564
Bolivia,10078343
Brazil,198686688
Barbados,280601
Brunei Darussalam,394013
Bhutan,740510
Botswana,2051339
Central African Republic,4476153
Canada,34342780
Central Europe and the Baltics,104174038
Switzerland,7912398
Channel Islands,160497
Chile,17153357
China,1344130000
Cote d'Ivoire,20895311
Cameroon,20520447
"Congo, Dem. Rep.",66713597
"Congo, Rep.",4512730
Colombia,46406646
Comoros,706569
Cabo Verde,508067
Costa Rica,4600474
Caribbean small states,7029022
Cuba,11354651
Curacao,150831
Cayman Islands,56579
Cyprus,1124835
Czech Republic,10496088
Germany,80274983
Djibouti,865937
Dominica,71718
Denmark,5570572
Dominican Republic,10027095
Algeria,36819558
East Asia & Pacific (excluding high income),1980303926
Early-demographic dividend,2953406021
East Asia & Pacific,2221934234
Europe & Central Asia (excluding high income),405521953
Europe & Central Asia,891094963
Ecuador,15177355
"Egypt, Arab Rep.",85897561
Euro area,335425830
Eritrea,4474690
Spain,46742697
Estonia,1327439
Ethiopia,90046756
European Union,504012081
Fragile and conflict affected situations,449398455
Finland,5388272
Fiji,867086
France,65342775
Faroe Islands,48608
"Micronesia, Fed. Sts.",103468
Gabon,1697101
United Kingdom,63258918
Georgia,3875000
Ghana,25121796
Gibraltar,33405
Guinea,11035170
"Gambia, The",1746363
Guinea-Bissau,1596154
Equatorial Guinea,994290
Greece,11104899
Grenada,105075
Greenland,56890
Guatemala,14948919
Guam,159678
Guyana,749100
High income,1155001498
"Hong Kong SAR, China",7071600
Honduras,8351600
Heavily indebted poor countries (HIPC),648053253
Croatia,4280622
Haiti,10145054
Hungary,9971727
IBRD only,4474450394
IDA & IBRD total,5880130776
IDA total,1405680382
IDA blend,463997812
Indonesia,245707511
IDA only,941682570
Isle of Man,80759
India,1247236029
Not classified,
Ireland,4576794
"Iran, Islamic Rep.",75491582
Iraq,31727053
Iceland,319014
Israel,7765800
Italy,59379449
Jamaica,2829493
Jordan,7574943
Japan,127833000
Kazakhstan,16556600
Kenya,42486839
Kyrgyz Republic,5514600
Cambodia,14537886
Kiribati,104656
St. Kitts and Nevis,52006
"Korea, Rep.",49936638
Kuwait,3191051
Latin America & Caribbean (excluding high income),576648286
Lao PDR,6333487
Lebanon,4588368
Liberia,4070167
Libya,6193501
St. Lucia,173832
Latin America & Caribbean,603537118
Least developed countries: UN classification,869298106
Low income,575572515
Liechtenstein,36264
Sri Lanka,20315017
Lower middle income,2801003868
Low & middle income,5859997307
Lesotho,2064166
Late-demographic dividend,2196126123
Lithuania,3028115
Luxembourg,518347
Latvia,2059709
"Macao SAR, China",549439
St. Martin (French part),30615
Morocco,32858823
Monaco,37497
Moldova,3559986
Madagascar,21743949
Maldives,375131
Middle East & North Africa,396573248
Mexico,119090017
Marshall Islands,52542
Middle income,5284424792
"Macedonia, FYR",2072383
Mali,15540989
Malta,416268
Myanmar,50553031
Middle East & North Africa (excluding high income),341822043
Montenegro,620079
Mongolia,2761516
Northern Mariana Islands,53786
Mozambique,24939005
Mauritania,3717672
Mauritius,1252404
Malawi,15627618
Malaysia,28635128
North America,346070702
Namibia,2215621
New Caledonia,254000
Niger,17064636
Nigeria,162877076
Nicaragua,5807820
Netherlands,16693074
Norway,4953088
Nepal,27327147
Nauru,10057
New Zealand,4384000
OECD members,1248769314
Oman,3237268
Other small states,26900149
Pakistan,174184265
Panama,3707782
Peru,29759989
Philippines,95277940
Palau,20599
Papua New Guinea,7269348
Poland,38063255
Pre-demographic dividend,760942116
Puerto Rico,3678732
"Korea, Dem. People’s Rep.",24722298
Portugal,10557560
Paraguay,6293783
West Bank and Gaza,3927051
Pacific island small states,2242763
Post-demographic dividend,1078083258
French Polynesia,269843
Qatar,1952054
Romania,20147528
Russian Federation,142960868
Rwanda,10516071
South Asia,1653798614
Saudi Arabia,28238020
Sudan,35167314
Senegal,13300910
Singapore,5183688
Solomon Islands,539614
Sierra Leone,6611692
El Salvador,6192560
San Marino,31504
Somalia,12404725
Serbia,7234099
Sub-Saharan Africa (excluding high income),901902485
South Sudan,10448857
Sub-Saharan Africa,901989926
Small states,36171934
Sao Tome and Principe,178800
Suriname,531589
Slovak Republic,5398384
Slovenia,2052843
Sweden,9449213
Swaziland,1225258
Sint Maarten (Dutch part),33435
Seychelles,87441
Syrian Arab Republic,20863993
Turks and Caicos Islands,31731
Chad,12288651
East Asia & Pacific (IDA & IBRD countries),1955546907
Europe & Central Asia (IDA & IBRD countries),443585208
Togo,6679282
Thailand,67530130
Tajikistan,7815949
Turkmenistan,5174061
Latin America & the Caribbean (IDA & IBRD countries),587315129
Timor-Leste,1131523
Middle East & North Africa (IDA & IBRD countries),337894992
Tonga,104577
South Asia (IDA & IBRD),1653798614
Sub-Saharan Africa (IDA & IBRD countries),901989926
Trinidad and Tobago,1334788
Tunisia,10761467
Turkey,73409455
Tuvalu,10628
Tanzania,47570902
Uganda,35093648
Ukraine,45706100
Upper middle income,2483420924
Uruguay,3385624
United States,311663358
Uzbekistan,29339400
St. Vincent and the Grenadines,109341
"Venezuela, RB",29463291
British Virgin Islands,27901
Virgin Islands (U.S.),108292
Vietnam,89436644
Vanuatu,241871
World,7014998805
Samoa,187665
Kosovo,1791000
"Yemen, Rep.",24252206
South Africa,52263516
Zambia,14264756
Zimbabwe,14386649
